Algorithm ; Parameter 1; Parameter 2; Parameter 3; Win-Rate ; Score; Ticks-won; Ticks-Lost
MCTS ; 10 ; 5 ; false ; 0.05 ; 2.05 ; 1000.0 ; 136.47368421052633
MCTS ; 10 ; 5 ; true ; 0.05 ; 2.65 ; 1000.0 ; 152.05263157894737
MCTS ; 10 ; 10 ; false ; 0.1 ; 1.55 ; 1000.0 ; 100.33333333333333
MCTS ; 10 ; 10 ; true ; 0.05 ; 1.75 ; 1000.0 ; 167.10526315789474
MCTS ; 20 ; 5 ; false ; 0.05 ; 2.0 ; 1000.0 ; 126.3157894736842
MCTS ; 20 ; 5 ; true ; 0.05 ; 1.3 ; 1000.0 ; 134.10526315789474
MCTS ; 20 ; 10 ; false ; 0.1 ; 1.95 ; 1000.0 ; 71.22222222222223
MCTS ; 20 ; 10 ; true ; 0.05 ; 2.0 ; 1000.0 ; 185.89473684210526
