Algorithm ; Parameter 1; Parameter 2; Parameter 3; Win-Rate ; Score; Ticks-won; Ticks-Lost
MCTS ; 10 ; 5 ; false ; 0.65 ; 26.5 ; 846.7692307692307 ; 521.0
MCTS ; 10 ; 5 ; true ; 0.9 ; 29.8 ; 496.44444444444446 ; 399.5
MCTS ; 10 ; 10 ; false ; 0.85 ; 32.5 ; 765.5882352941177 ; 672.0
MCTS ; 10 ; 10 ; true ; 0.0 ; 0.0 ; nan ; 0.0
MCTS ; 20 ; 5 ; false ; 0.85 ; 30.9 ; 788.1764705882352 ; 249.66666666666666
MCTS ; 20 ; 5 ; true ; 0.85 ; 28.2 ; 358.29411764705884 ; 475.6666666666667
MCTS ; 20 ; 10 ; false ; 0.0 ; 0.0 ; nan ; 0.0
MCTS ; 20 ; 10 ; true ; 0.95 ; 29.3 ; 259.4736842105263 ; 245.0
