Algorithm ; Parameter 1; Parameter 2; Parameter 3; Win-Rate ; Score; Ticks-won; Ticks-Lost
MCTS ; 10 ; 5 ; false ; 0.25 ; 30.55 ; 714.6 ; 381.26666666666665
MCTS ; 10 ; 5 ; true ; 0.25 ; 32.55 ; 693.8 ; 405.1333333333333
MCTS ; 10 ; 10 ; false ; 0.15 ; 29.6 ; 629.0 ; 405.0
MCTS ; 10 ; 10 ; true ; 0.3 ; 35.85 ; 681.8333333333334 ; 469.7142857142857
MCTS ; 20 ; 5 ; false ; 0.15 ; 35.55 ; 659.6666666666666 ; 519.4705882352941
MCTS ; 20 ; 5 ; true ; 0.0 ; 24.3 ; nan ; 360.3
MCTS ; 20 ; 10 ; false ; 0.25 ; 38.0 ; 663.8 ; 553.8
MCTS ; 20 ; 10 ; true ; 0.2 ; 33.2 ; 754.75 ; 452.75
