Algorithm ; Parameter 1; Parameter 2; Parameter 3; Win-Rate ; Score; Ticks-won; Ticks-Lost
MCTS ; 10 ; 5 ; false ; 0.05 ; 0.75 ; 147.0 ; 90.57894736842105
MCTS ; 10 ; 5 ; true ; 0.1 ; 0.3 ; 142.5 ; 97.94444444444444
MCTS ; 10 ; 10 ; false ; 0.1 ; -0.85 ; 142.0 ; 78.55555555555556
MCTS ; 10 ; 10 ; true ; 0.1 ; -0.6 ; 141.5 ; 84.66666666666667
MCTS ; 20 ; 5 ; false ; 0.0 ; 0.0 ; nan ; 0.0
MCTS ; 20 ; 5 ; true ; 0.05 ; -0.1 ; 100.0 ; 95.26315789473684
MCTS ; 20 ; 10 ; false ; 0.1 ; -0.55 ; 120.5 ; 87.38888888888889
MCTS ; 20 ; 10 ; true ; 0.1 ; 0.35 ; 107.0 ; 64.72222222222223
